movie_name,release_year,certificate,duration,genre,star,metascore,votes
 Your Honor,2020–2021,TV-MA,57 min,"Crime, Drama, Thriller",8.1,nil,"1,371"
Cabras da Peste,2021,TV-14,97 min,"Action, Comedy, Crime",6.2,nil,"1,367"
Nail Bomber: Manhunt,2021,TV-MA,72 min,"Documentary, Crime, History",6.3,nil,"1,366"
 Racket Boys,2021– ,not rated,nil,"Comedy, Drama, Sport",1.0,nil,"1,365"
 Castlevania,2017–2021,TV-MA,27 min,"Animation, Action, Adventure",9.4,nil,"1,363"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.6,nil,"1,361"
Shukra,2021,not rated,119 min,Drama,7.5,nil,"1,357"
 Fear the Walking Dead,2015– ,TV-MA,47 min,"Drama, Horror, Sci-Fi",8.2,nil,"1,353"
 This Is Us,2016–2022,TV-14,43 min,"Comedy, Drama, Romance",9.0,nil,"1,350"
 Jujutsu Kaisen,2020– ,TV-MA,24 min,"Animation, Action, Adventure",8.2,nil,"1,346"
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.2,nil,"1,342"
 The Promised Neverland,2019–2021,TV-14,23 min,"Animation, Adventure, Drama",8.6,nil,"1,341"
Porodica,2021– ,not rated,nil,"Drama, History",7.5,nil,"1,338"
 Jujutsu Kaisen,2020– ,TV-MA,24 min,"Animation, Action, Adventure",8.1,nil,"1,337"
G - Zombie,2021,not rated,116 min,Sci-Fi,7.2,nil,"1,336"
 Sweet Tooth,2021– ,TV-14,nil,"Action, Adventure, Drama",8.1,nil,"1,335"
 Resident Alien,2021– ,TV-14,44 min,"Comedy, Drama, Mystery",8.0,nil,"1,334"
 Racket Boys,2021– ,not rated,nil,"Comedy, Drama, Sport",1.0,nil,"1,333"
 The Blacklist,2013– ,TV-14,43 min,"Crime, Drama, Mystery",4.6,nil,"1,333"
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.0,nil,"1,333"
One and the Same,2021,Not Rated,110 min,Mystery,6.7,nil,"1,332"
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.0,nil,"1,328"
Jakob's Wife,2021,Not Rated,98 min,Horror,5.3,59        ,"1,325"
Mosagallu,2021,not rated,85 min,Drama,6.4,nil,"1,325"
 Behind Her Eyes,2021,TV-MA,50 min,"Drama, Mystery, Thriller",8.2,nil,"1,312"
Can't Get You Out of My Head,2021,not rated,nil,"Documentary, History",8.6,nil,"1,308"
Yesilçam: Bir Sinema Hayvani,2021– ,not rated,nil,"Drama, History, Romance",8.1,nil,"1,303"
MMOF,2021,not rated,108 min,Drama,7.1,nil,"1,299"
Grace,2021– ,not rated,90 min,"Crime, Drama, Mystery",7.1,nil,"1,297"
 Superman and Lois,2021– ,TV-PG,nil,"Action, Adventure, Drama",8.2,nil,"1,295"
 Young Rock,2021– ,TV-PG,21 min,Comedy,7.6,nil,"1,293"
We Are Lady Parts,2021– ,TV-MA,24 min,"Comedy, Music",7.8,nil,"1,292"
 Your Honor,2020–2021,TV-MA,56 min,"Crime, Drama, Thriller",8.0,nil,"1,285"
 Bang Baang,2021– ,not rated,nil,"Action, Thriller",9.3,nil,"1,281"
 Fear the Walking Dead,2015– ,TV-MA,48 min,"Drama, Horror, Sci-Fi",8.0,nil,"1,277"
Wagle Ki Duniya,2021– ,not rated,nil,Comedy,9.3,nil,"1,274"
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.3,nil,"1,265"
 Wynonna Earp,2016–2021,TV-MA,43 min,"Action, Drama, Fantasy",9.4,nil,"1,262"
I want to be alive,2021– ,TV-14,50 min,"Drama, Romance, Thriller",6.2,nil,"1,261"
 The Handmaid's Tale,2017– ,TV-MA,57 min,"Drama, Sci-Fi, Thriller",8.6,nil,"1,257"
 The Blacklist,2013– ,TV-14,42 min,"Crime, Drama, Mystery",5.1,nil,"1,256"
Sex/Life,2021– ,TV-MA,nil,"Comedy, Drama, Romance",6.0,nil,"1,253"
Rang De,2021,not rated,130 min,"Comedy, Drama, Romance",6.8,nil,"1,252"
Hello Jee,2021– ,not rated,22 min,"Romance, Thriller",7.9,nil,"1,248"
The Crime of the Century,2021,TV-MA,231 min,"Documentary, Crime",8.1,nil,"1,247"
 Jujutsu Kaisen,2020– ,TV-MA,24 min,"Animation, Action, Adventure",8.2,nil,"1,242"
Body Brokers,2021,R,111 min,"Crime, Drama, Thriller",6.2,64        ,"1,241"
OK Computer,2021– ,not rated,240 min,"Comedy, Crime, Mystery",5.4,nil,"1,241"
Secrets of Sulphur Springs,2021– ,TV-PG,24 min,"Adventure, Drama, Family",7.8,nil,"1,240"
 Jupiter's Legacy,2021,TV-MA,35 min,"Action, Adventure, Drama",7.0,nil,"1,237"
 Your Honor,2020–2021,TV-MA,58 min,"Crime, Drama, Thriller",7.7,nil,"1,235"
 Young Rock,2021– ,TV-14,21 min,Comedy,7.9,nil,"1,232"
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.5,nil,"1,230"
Kill Plan,2021,not rated,71 min,Thriller,5.2,nil,"1,229"
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.3,nil,"1,225"
Son Yaz,2021– ,not rated,120 min,Drama,7.9,nil,"1,219"
Seobok,2021,TV-MA,114 min,"Action, Sci-Fi, Thriller",6.2,nil,"1,215"
P!nk: All I Know So Far,2021,TV-14,99 min,"Documentary, Biography, Music",8.0,60        ,"1,214"
Bad Luck Banging or Loony Porn,2021,not rated,106 min,"Comedy, Drama",6.8,67        ,"1,211"
 Fear the Walking Dead,2015– ,TV-MA,45 min,"Drama, Horror, Sci-Fi",8.1,nil,"1,211"
"Money, Explained",2021,TV-14,23 min,Documentary,6.9,nil,"1,208"
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.5,nil,"1,207"
Kenan,2021– ,TV-PG,nil,Comedy,5.6,nil,"1,206"
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.1,nil,"1,194"
Dom,2021– ,TV-MA,nil,"Crime, Drama",7.2,nil,"1,192"
Headspace Guide to Meditation,2021,TV-G,173 min,"Documentary, Animation",8.5,nil,"1,191"
 Anne Boleyn,2021– ,not rated,nil,Drama,6.9,nil,"1,190"
A Writer's Odyssey,2021,not rated,130 min,"Action, Adventure, Crime",6.3,nil,"1,188"
Daughter from Another Mother,2021– ,TV-MA,nil,"Comedy, Drama, Fantasy",7.4,nil,"1,183"
Marvel Studios: Assembled,2021– ,TV-14,58 min,Documentary,8.0,nil,"1,182"
 The Flash,2014– ,TV-PG,42 min,"Action, Adventure, Drama",6.5,nil,"1,175"
 Riverdale,2017– ,TV-14,41 min,"Crime, Drama, Mystery",7.6,nil,"1,172"
 Your Honor,2020–2021,TV-MA,52 min,"Crime, Drama, Thriller",8.1,nil,"1,172"
Ride or Die,III 2021,TV-MA,142 min,"Drama, Romance, Thriller",5.4,64        ,"1,169"
 Resident Alien,2021– ,TV-14,44 min,"Comedy, Drama, Mystery",7.9,nil,"1,168"
" Re: Zero, Starting Life in Another World",2016– ,TV-14,30 min,"Animation, Adventure, Drama",9.7,nil,"1,159"
1962: the War in the Hills,2021– ,not rated,45 min,"Action, Adventure, Drama",6.2,nil,"1,159"
 Young Rock,2021– ,TV-14,nil,Comedy,8.7,nil,"1,157"
The Stay,2021,not rated,87 min,Thriller,6.4,nil,"1,150"
 Jupiter's Legacy,2021,TV-MA,44 min,"Action, Adventure, Drama",7.2,nil,"1,149"
Sensation,2021,not rated,96 min,"Mystery, Sci-Fi, Thriller",4.4,nil,"1,148"
 Young Rock,2021– ,TV-PG,nil,Comedy,7.9,nil,"1,141"
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.6,nil,"1,140"
Detective Chinatown 3,2021,R,136 min,"Action, Adventure, Comedy",5.7,nil,"1,140"
 Young Rock,2021– ,TV-PG,nil,Comedy,8.2,nil,"1,136"
False Positive,2021,R,92 min,"Horror, Mystery, Thriller",4.7,57        ,"1,136"
Agent Revelation,2021,not rated,86 min,"Action, Sci-Fi, Thriller",5.6,nil,"1,132"
Hoodman,2021,not rated,98 min,"Crime, Horror, Thriller",6.3,nil,"1,132"
 The Blacklist,2013– ,TV-14,43 min,"Crime, Drama, Mystery",8.7,nil,"1,127"
A (Ad Infinitum),2021,not rated,153 min,"Family, Thriller",8.4,nil,"1,127"
Downfalls High,2021,not rated,46 min,"Drama, Musical, Romance",7.5,nil,"1,124"
 IMDb on the Scene - Interviews,2017– ,Not Rated,nil,Talk-Show,7.9,nil,"1,120"
Sweet & Sour,2021,TV-14,101 min,"Comedy, Romance",6.8,nil,"1,117"
 Snowpiercer,2020– ,TV-MA,47 min,"Action, Drama, Sci-Fi",7.9,nil,"1,113"
"Hi, Mom",2021,not rated,128 min,"Comedy, Drama, Fantasy",7.1,nil,"1,109"
 Resident Alien,2021– ,TV-14,45 min,"Comedy, Drama, Mystery",8.2,nil,"1,109"
 Wynonna Earp,2016–2021,TV-14,nil,"Action, Drama, Fantasy",9.3,nil,"1,108"
 Snowpiercer,2020– ,TV-MA,46 min,"Action, Drama, Sci-Fi",8.4,nil,"1,107"
Dystopia,2021– ,not rated,nil,Horror,8.3,nil,"1,105"
 Resident Alien,2021– ,TV-14,46 min,"Comedy, Drama, Mystery",8.4,nil,"1,099"
 Walker,2021– ,TV-PG,42 min,"Action, Crime, Drama",6.9,nil,"1,096"
Check,2021,not rated,140 min,Action,6.6,nil,"1,095"
 Young Rock,2021– ,TV-PG,nil,Comedy,8.3,nil,"1,094"
 Supergirl,2015–2021,TV-14,nil,"Action, Adventure, Drama",7.9,nil,"1,094"
Rutherford Falls,2021– ,TV-14,nil,Comedy,6.5,nil,"1,094"
 The Flash,2014– ,TV-PG,42 min,"Action, Adventure, Drama",7.5,nil,"1,093"
Trigger Point,2021,not rated,85 min,"Action, Thriller",4.8,nil,"1,092"
 Bang Baang,2021– ,not rated,nil,"Action, Thriller",9.3,nil,"1,091"
Akinci,2021– ,not rated,120 min,"Action, Adventure, Crime",2.6,nil,"1,091"
Khuda Aur Mohabbat 3,2021,not rated,40 min,Drama,9.1,nil,"1,090"
Tony Parker: The Final Shot,2021,TV-14,98 min,"Documentary, Biography, Sport",6.8,nil,"1,088"
LOL: Last One Laughing Italy,2021– ,not rated,nil,Comedy,7.4,nil,"1,088"
 The Flash,2014– ,TV-PG,42 min,"Action, Adventure, Drama",6.6,nil,"1,085"
 Black Clover,2017–2021,TV-PG,24 min,"Animation, Action, Adventure",9.5,nil,"1,085"
 Behind Her Eyes,2021,TV-MA,50 min,"Drama, Mystery, Thriller",7.0,nil,"1,085"
 Line of Duty,2012– ,TV-14,57 min,"Crime, Drama, Mystery",9.2,nil,"1,083"
Vivy: Fluorite Eye's Song,2021– ,not rated,nil,"Animation, Action, Sci-Fi",8.7,nil,"1,083"
Boogie,2021,R,90 min,Drama,5.2,54        ,"1,083"
Play Back,2021,not rated,138 min,"Crime, Fantasy, Romance",8.2,nil,"1,081"
A Glitch in the Matrix,2021,Not Rated,108 min,Documentary,5.2,62        ,"1,080"
 The Rookie,2018– ,TV-14,nil,"Comedy, Crime, Drama",5.9,nil,"1,079"
Live Telecast,2021– ,not rated,32 min,Horror,4.2,nil,"1,078"
 Superman and Lois,2021– ,TV-PG,nil,"Action, Adventure, Drama",8.6,nil,"1,077"
 Jupiter's Legacy,2021,TV-MA,48 min,"Action, Adventure, Drama",6.9,nil,"1,077"
 Fate: The Winx Saga,2021– ,TV-MA,53 min,"Action, Adventure, Drama",7.2,nil,"1,072"
 Anne Boleyn,2021– ,not rated,nil,Drama,6.9,nil,"1,070"
 The Rookie,2018– ,TV-14,42 min,"Comedy, Crime, Drama",6.1,nil,"1,067"
 The Handmaid's Tale,2017– ,TV-MA,52 min,"Drama, Sci-Fi, Thriller",8.3,nil,"1,064"
 Master of None,2015– ,TV-MA,55 min,"Comedy, Drama",5.8,nil,"1,061"
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.4,nil,"1,061"
The Candidate,2021,not rated,nil,"Short, Horror",9.0,nil,"1,059"
The Boarding School: Las Cumbres,2021– ,Not Rated,nil,"Drama, Mystery, Thriller",6.5,nil,"1,053"
 It's a Sin,2021,TV-MA,49 min,"Comedy, Drama, History",9.4,nil,"1,053"
 The Blacklist,2013– ,TV-14,42 min,"Crime, Drama, Mystery",8.9,nil,"1,051"
Sasquatch,2021,TV-MA,138 min,"Documentary, Crime, History",6.2,nil,"1,050"
Zero Chill,2021– ,TV-G,nil,"Comedy, Drama, Family",5.7,nil,"1,050"
 Sweet Tooth,2021– ,TV-14,nil,"Action, Adventure, Drama",8.3,nil,"1,049"
 Jupiter's Legacy,2021,TV-MA,56 min,"Action, Adventure, Drama",7.9,nil,"1,048"
Elite Short Stories: Carla Samuel,2021,TV-MA,43 min,"Short, Drama, Romance",7.1,nil,"1,046"
Elite Short Stories: Guzmán Caye Rebe,2021,TV-MA,36 min,"Short, Crime, Drama",7.5,nil,"1,045"
 The Blacklist,2013– ,TV-14,42 min,"Crime, Drama, Mystery",6.4,nil,"1,043"
Hükümsüz,2021– ,not rated,40 min,"Drama, Mystery, Thriller",6.9,nil,"1,041"
 IMDb on the Scene - Interviews,2017– ,Not Rated,nil,Talk-Show,9.3,nil,"1,038"
 It's a Sin,2021,TV-MA,46 min,"Comedy, Drama, History",8.5,nil,"1,038"
 The Promised Neverland,2019–2021,TV-14,23 min,"Animation, Adventure, Drama",8.1,nil,"1,037"
The Force Awakens from Its Nap,2021,TV-PG,3 min,"Animation, Short, Comedy",6.2,nil,"1,035"
 The Promised Neverland,2019–2021,TV-14,23 min,"Animation, Adventure, Drama",6.4,nil,"1,032"
True,2021,not rated,92 min,Thriller,8.9,nil,"1,024"
Tempt Raja,2021,not rated,108 min,Comedy,9.0,nil,"1,023"
 Bang Baang,2021– ,not rated,nil,"Action, Thriller",9.4,nil,"1,023"
Double Dad,2021,TV-G,103 min,"Comedy, Drama, Family",5.7,nil,"1,023"
 Fear the Walking Dead,2015– ,TV-MA,nil,"Drama, Horror, Sci-Fi",8.2,nil,"1,022"
North Hollywood,2021,Not Rated,93 min,"Comedy, Drama",6.2,nil,"1,020"
 It's a Sin,2021,TV-MA,48 min,"Comedy, Drama, History",9.2,nil,"1,020"
Welcome to Utmark,2021– ,not rated,nil,"Comedy, Drama",7.9,nil,"1,016"
Amend: The Fight for America,I 2021,TV-MA,nil,"Documentary, History",7.9,nil,"1,015"
 Bang Baang,2021– ,not rated,nil,"Action, Thriller",9.4,nil,"1,015"
Physical,2021– ,TV-MA,nil,"Comedy, Drama",7.0,nil,"1,015"
 Lupin,2021– ,TV-MA,43 min,"Action, Crime, Drama",7.1,nil,"1,013"
 Jupiter's Legacy,2021,TV-MA,36 min,"Action, Adventure, Drama",7.4,nil,"1,013"
Call Your Mother,2021,TV-PG,22 min,Comedy,5.2,nil,"1,011"
 This Is Us,2016–2022,TV-14,43 min,"Comedy, Drama, Romance",9.1,nil,"1,009"
 Bang Baang,2021– ,not rated,nil,"Action, Thriller",9.3,nil,"1,006"
 The Flash,2014– ,TV-PG,42 min,"Action, Adventure, Drama",7.5,nil,"1,005"
 The Promised Neverland,2019–2021,TV-14,23 min,"Animation, Adventure, Drama",7.8,nil,"1,005"
 Fate: The Winx Saga,2021– ,TV-MA,53 min,"Action, Adventure, Drama",8.2,nil,"1,002"
 The Blacklist,2013– ,TV-14,43 min,"Crime, Drama, Mystery",8.6,nil,"1,001"
 To Your Eternity,2021– ,not rated,25 min,"Animation, Adventure, Drama",9.7,nil,"1,000"
 Wynonna Earp,2016–2021,TV-14,43 min,"Action, Drama, Fantasy",9.5,nil,997
 The Promised Neverland,2019–2021,TV-14,23 min,"Animation, Adventure, Drama",7.0,nil,995
Hey There!,2021,Not Rated,82 min,Comedy,6.2,nil,995
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.2,nil,993
 The Stand,2020–2021,TV-MA,60 min,"Adventure, Drama, Fantasy",6.9,nil,990
 Bang Baang,2021– ,not rated,nil,"Action, Thriller",9.3,nil,990
The Houseboat,2021– ,TV-14,nil,Documentary,7.3,nil,989
 The Good Doctor,2017– ,TV-14,43 min,Drama,5.0,nil,989
Queen of Beggars Aka Malake Gedayan,2021– ,not rated,nil,"Drama, Mystery, Romance",5.1,nil,989
400 Bullets,2021,Not Rated,89 min,Action,4.6,nil,988
 Jupiter's Legacy,2021,TV-MA,48 min,"Action, Adventure, Drama",7.1,nil,986
 Fear the Walking Dead,2015– ,TV-MA,42 min,"Drama, Horror, Sci-Fi",7.3,nil,984
 Wynonna Earp,2016–2021,TV-14,43 min,"Action, Drama, Fantasy",9.6,nil,981
 Bang Baang,2021– ,not rated,nil,"Action, Thriller",9.3,nil,980
Devineni,2021,not rated,122 min,Drama,9.7,nil,979
 Grey's Anatomy,2005– ,TV-14,nil,"Drama, Romance",5.1,nil,977
United States of Al,2021– ,TV-PG,30 min,Comedy,5.9,nil,977
Ninnila Ninnila,2021,not rated,118 min,"Comedy, Romance",7.7,nil,976
 Superstore,2015–2021,TV-14,nil,Comedy,9.6,nil,975
Safer at Home,2021,R,82 min,Thriller,4.9,35        ,973
 Superman and Lois,2021– ,TV-PG,nil,"Action, Adventure, Drama",8.7,nil,973
Nabillera,2021– ,not rated,60 min,Drama,8.8,nil,972
 The Nevers,2021– ,TV-MA,63 min,"Action, Drama, Fantasy",7.8,nil,971
 Wynonna Earp,2016–2021,TV-14,43 min,"Action, Drama, Fantasy",9.4,nil,970
 Line of Duty,2012– ,TV-14,57 min,"Crime, Drama, Mystery",9.1,nil,968
 Bang Baang,2021– ,not rated,nil,"Action, Thriller",9.3,nil,968
 Jupiter's Legacy,2021,TV-MA,44 min,"Action, Adventure, Drama",7.4,nil,967
Zero,2021– ,TV-MA,27 min,"Action, Comedy, Drama",5.7,nil,965
Aarkkariyam,2021,not rated,126 min,Drama,7.0,nil,961
 Bang Baang,2021– ,not rated,nil,"Action, Thriller",9.3,nil,959
 Bang Baang,2021– ,not rated,nil,"Action, Thriller",9.3,nil,956
Breaking Boundaries: The Science of Our Planet,2021,TV-PG,73 min,Documentary,7.8,nil,949
 Formula 1: Drive to Survive,2019– ,TV-MA,51 min,"Documentary, Sport",9.4,nil,946
 Star Wars: The Bad Batch,2021– ,TV-PG,25 min,"Animation, Action, Adventure",8.5,nil,944
Glaciär,2021,not rated,88 min,Drama,6.2,nil,944
Taking a Shot at Love,2021 TV Movie,TV-G,84 min,"Drama, Romance",7.2,nil,941
It Was Always You,2021 TV Movie,TV-G,86 min,"Comedy, Drama, Romance",7.1,nil,937
 The Stand,2020–2021,TV-MA,61 min,"Adventure, Drama, Fantasy",6.9,nil,934
 Behind Her Eyes,2021,TV-MA,49 min,"Drama, Mystery, Thriller",7.2,nil,934
 Resident Alien,2021– ,TV-14,46 min,"Comedy, Drama, Mystery",8.1,nil,932
L'ultimo paradiso,2021,TV-MA,107 min,"Drama, Romance",5.6,nil,930
"Don't Toy with Me, Miss Nagatoro",2021– ,TV-14,24 min,"Animation, Comedy, Romance",7.6,nil,929
 The Flash,2014– ,TV-PG,42 min,"Action, Adventure, Drama",7.1,nil,927
 Line of Duty,2012– ,TV-14,57 min,"Crime, Drama, Mystery",7.8,nil,926
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.4,nil,926
 Riverdale,2017– ,TV-PG,42 min,"Crime, Drama, Mystery",8.5,nil,924
 It's a Sin,2021,TV-MA,47 min,"Comedy, Drama, History",8.7,nil,922
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.6,nil,921
 One Piece,1999– ,TV-14,nil,"Animation, Action, Adventure",9.1,nil,920
 Snowpiercer,2020– ,TV-MA,48 min,"Action, Drama, Sci-Fi",7.7,nil,918
 Castlevania,2017–2021,TV-MA,24 min,"Animation, Action, Adventure",9.1,nil,917
 IMDb on the Scene - Interviews,2017– ,Not Rated,nil,Talk-Show,7.6,nil,917
 Wynonna Earp,2016–2021,TV-14,54 min,"Action, Drama, Fantasy",9.6,nil,909
 Fate: The Winx Saga,2021– ,TV-MA,48 min,"Action, Adventure, Drama",7.4,nil,909
 The Blacklist,2013– ,TV-14,43 min,"Crime, Drama, Mystery",7.3,nil,901
Methagu,2021,not rated,nil,"Biography, History",9.7,nil,900
 Superman and Lois,2021– ,TV-PG,nil,"Action, Adventure, Drama",8.6,nil,896
Dark Web: Cicada 3301,2021,R,104 min,"Action, Comedy, Thriller",4.9,nil,893
 Clarice,2021– ,TV-14,42 min,"Crime, Drama, Mystery",7.0,nil,892
The Lady and the Dale,2021,TV-14,212 min,"Documentary, Biography, Crime",6.8,nil,891
 Sweet Tooth,2021– ,TV-14,nil,"Action, Adventure, Drama",8.0,nil,891
Caught by a Wave,2021,TV-14,99 min,"Drama, Romance, Sport",5.7,nil,891
Dancing Queens,2021,TV-MA,110 min,"Comedy, Drama",5.4,nil,888
 Castlevania,2017–2021,TV-MA,24 min,"Animation, Action, Adventure",8.3,nil,886
Ammaa Ki Boli,2021,not rated,117 min,"Comedy, Drama",7.9,nil,883
The Last Cruise,2021,TV-14,40 min,"Documentary, Short",6.4,75        ,883
Ögrenci Evi,2021– ,not rated,50 min,"Comedy, Drama, Romance",5.6,nil,882
Qubool Hai 2.0,2021– ,not rated,23 min,Romance,8.6,nil,881
 The Rookie,2018– ,TV-14,43 min,"Comedy, Crime, Drama",7.9,nil,881
Seance,2021,R,92 min,"Horror, Mystery",5.3,45        ,881
 It's a Sin,2021,TV-MA,48 min,"Comedy, Drama, History",9.0,nil,881
 The Flash,2014– ,TV-PG,42 min,"Action, Adventure, Drama",5.7,nil,880
LOL - Hasse Toh Phasse,2021– ,not rated,nil,Comedy,3.7,nil,879
Law School,2021– ,not rated,65 min,"Crime, Drama, Mystery",8.1,nil,879
 Behind Her Eyes,2021,TV-MA,50 min,"Drama, Mystery, Thriller",7.2,nil,879
Elite Short Stories: Nadia Guzmán,2021,TV-MA,33 min,"Short, Drama, Romance",6.4,nil,878
 Sweet Tooth,2021– ,TV-14,nil,"Action, Adventure, Drama",7.8,nil,876
 Fate: The Winx Saga,2021– ,TV-MA,51 min,"Action, Adventure, Drama",7.5,nil,876
 The Serpent,2021,TV-MA,59 min,"Crime, Drama, Thriller",7.2,nil,876
 Batwoman,2019– ,TV-14,41 min,"Action, Adventure, Crime",5.0,nil,875
Nate Bargatze: The Greatest Average American,2021 TV Special,TV-G,60 min,Comedy,7.3,nil,872
 The Promised Neverland,2019–2021,TV-14,23 min,"Animation, Adventure, Drama",8.1,nil,870
 Black Clover,2017–2021,TV-14,24 min,"Animation, Action, Adventure",9.6,nil,869
The Lockdown Hauntings,2021,not rated,101 min,Horror,5.4,nil,869
 The Nevers,2021– ,TV-MA,56 min,"Action, Drama, Fantasy",8.2,nil,869
Ankara,2021– ,Not Rated,nil,"Action, Drama",7.2,nil,865
Sreekaram,2021,not rated,122 min,Drama,7.0,nil,865
 Resident Alien,2021– ,TV-14,46 min,"Comedy, Drama, Mystery",8.2,nil,864
 Behind Her Eyes,2021,TV-MA,46 min,"Drama, Mystery, Thriller",7.6,nil,863
 This Is Us,2016–2022,TV-14,43 min,"Comedy, Drama, Romance",8.9,nil,862
 Riverdale,2017– ,TV-14,42 min,"Crime, Drama, Mystery",7.2,nil,862
 Racket Boys,2021– ,not rated,83 min,"Comedy, Drama, Sport",1.0,nil,861
 Mythic Quest: Raven's Banquet,2020– ,TV-MA,37 min,Comedy,9.3,nil,861
 The Blacklist,2013– ,TV-14,43 min,"Crime, Drama, Mystery",8.6,nil,861
 Lupin,2021– ,TV-MA,50 min,"Action, Crime, Drama",8.2,nil,860
 Racket Boys,2021– ,not rated,78 min,"Comedy, Drama, Sport",1.0,nil,858
 Sweet Tooth,2021– ,TV-14,nil,"Action, Adventure, Drama",8.7,nil,857
 Behind Her Eyes,2021,TV-MA,53 min,"Drama, Mystery, Thriller",7.5,nil,854
 The Nevers,2021– ,TV-MA,57 min,"Action, Drama, Fantasy",8.3,nil,853
 Snowpiercer,2020– ,TV-MA,45 min,"Action, Drama, Sci-Fi",7.7,nil,852
 Fate: The Winx Saga,2021– ,TV-MA,50 min,"Action, Adventure, Drama",7.7,nil,852
 The Rookie,2018– ,TV-14,43 min,"Comedy, Crime, Drama",6.3,nil,850
 Racket Boys,2021– ,not rated,64 min,"Comedy, Drama, Sport",1.0,nil,848
 The Blacklist,2013– ,TV-14,42 min,"Crime, Drama, Mystery",6.4,nil,845
 Resident Alien,2021– ,TV-14,45 min,"Comedy, Drama, Mystery",8.2,nil,845
 Snowpiercer,2020– ,TV-MA,47 min,"Action, Drama, Sci-Fi",8.2,nil,844
 Allen v. Farrow,2021,TV-MA,56 min,"Documentary, Biography, Crime",5.1,nil,842
 The Blacklist,2013– ,TV-14,43 min,"Crime, Drama, Mystery",6.5,nil,841
Ghost Lab,2021,TV-MA,117 min,"Drama, Horror, Thriller",5.2,nil,839
Clairevoyant,2021,not rated,90 min,"Comedy, Drama",7.7,nil,839
Kemono Jihen,2021– ,not rated,24 min,"Animation, Action, Fantasy",7.5,nil,835
 Walker,2021– ,TV-14,42 min,"Action, Crime, Drama",7.4,nil,833
 Superman and Lois,2021– ,TV-PG,nil,"Action, Adventure, Drama",8.8,nil,833
Oprah with Meghan and Harry: A CBS Primetime Special,2021 TV Special,TV-PG,86 min,Talk-Show,5.2,nil,830
 Fate: The Winx Saga,2021– ,TV-MA,47 min,"Action, Adventure, Drama",7.5,nil,830
 Resident Alien,2021– ,TV-14,46 min,"Comedy, Drama, Mystery",8.4,nil,828
 Superstore,2015–2021,TV-14,nil,Comedy,6.5,nil,825
Elite Short Stories: Omar Ander Alexis,2021,TV-MA,35 min,"Short, Drama",7.6,nil,824
 Riverdale,2017– ,TV-14,42 min,"Crime, Drama, Mystery",7.5,nil,824
 Tandav,2021– ,TV-14,38 min,"Drama, Thriller",5.3,nil,824
 Resident Alien,2021– ,TV-14,46 min,"Comedy, Drama, Mystery",8.5,nil,824
Mehndi Hai Rachne Waali,2021– ,not rated,nil,Drama,8.3,nil,822
 Castlevania,2017–2021,TV-MA,24 min,"Animation, Action, Adventure",8.2,nil,821
The 93rd Oscars,2021 TV Special,TV-14,150 min,nil,3.5,nil,821
Spirit Untamed,2021,PG,88 min,"Animation, Adventure, Family",5.4,48        ,820
 The Flash,2014– ,TV-PG,42 min,"Action, Adventure, Drama",5.9,nil,819
 Castlevania,2017–2021,TV-MA,29 min,"Animation, Action, Adventure",8.4,nil,818
Kadhanika,2021,not rated,128 min,Thriller,8.9,nil,818
Hero Mode,2021,PG,88 min,Comedy,4.9,46        ,817
 My Hero Academia,2016– ,TV-14,24 min,"Animation, Action, Adventure",6.9,nil,816
 The Rookie,2018– ,TV-14,nil,"Comedy, Crime, Drama",6.3,nil,816
 The Stand,2020–2021,TV-MA,57 min,"Adventure, Drama, Fantasy",6.5,nil,812
 Black Clover,2017–2021,TV-PG,24 min,"Animation, Action, Adventure",9.3,nil,811
 Black Clover,2017–2021,TV-PG,24 min,"Animation, Action, Adventure",9.6,nil,809
 This Is Us,2016–2022,TV-14,42 min,"Comedy, Drama, Romance",8.6,nil,809
 Lupin,2021– ,TV-MA,44 min,"Action, Crime, Drama",7.3,nil,807
Alludu Adhurs,2021,not rated,149 min,"Action, Comedy",3.3,nil,804
Punky Brewster,2021– ,TV-PG,nil,Comedy,6.9,nil,803
Zero Nine,2021,not rated,93 min,"Action, Crime, Thriller",8.6,nil,802
 The Promised Neverland,2019–2021,TV-14,23 min,"Animation, Adventure, Drama",6.6,nil,801
Eoneu Nal Uri Jib Hyeongwaeuro Myeolmangyi Deuleowassda,2021– ,not rated,65 min,"Drama, Fantasy, Romance",8.8,nil,801
